Pelanggan,X,Y,Permintaan
0,30,40,0
1,34,74,9
2,49,90,40
3,85,53,34
4,93,59,36
5,47,98,12
6,57,89,44
7,75,60,9
8,56,45,32
9,30,75,25
10,45,40,26
11,69,83,17
12,54,49,43
13,60,10,37
14,64,35,50
15,22,35,38
16,97,24,5
17,63,34,30
18,52,84,14
19,55,77,24
20,98,59,28
21,77,31,23
22,69,70,20
23,50,42,35
24,59,36,50
25,15,42,24
26,57,39,46
27,71,79,50
28,24,28,46
29,33,43,9
30,77,75,15
31,71,73,41
32,36,17,47
33,82,71,14
34,14,93,19
35,67,20,28
36,44,97,21
37,73,41,19
38,85,10,25
39,63,42,31
40,23,74,44
41,82,64,10
42,37,92,22
43,16,24,9
44,96,98,37
45,89,38,19
46,47,14,44
47,53,71,36
48,95,97,18
49,28,70,35
50,55,82,45
